"surveyid","agency","city","state","white_hit_rate","black_hit_rate","white_search_rate","black_search_rate"
2127,"Holly Springs Police Department","Holly Springs","NC",0.333333333333333,0.304461942257218,0.041008837255486,0.0734528629265471
571,"Concord Police Department","Concord","NC",0.243464483760232,0.304646251319958,0.0296067547494332,0.0372189907247288
583,"Greenville Police Department","Greenville","NC",0.227667493796526,0.236587510993843,0.0322296865003199,0.0566870248036894
2165,"Surf City Police Department","Surf City","NC",0.400250941028858,0.339285714285714,0.0781066248529988,0.096551724137931
581,"Goldsboro Police Department","Goldsboro","NC",0.188295165394402,0.228110599078341,0.0333453534989288,0.0582215408202376
2141,"Mint Hill Police Department","Mint Hill","NC",0.338731443994602,0.345195729537367,0.0484789008832188,0.0529788838612368
2154,"Pilot Mountain Police Dept","Pilot Mountain","NC",0.264900662251656,0.181818181818182,0.0667255855059655,0.0808823529411765
602,"Winston-Salem Police Department","Winston Salem","NC",0.282541198949128,0.351624231782265,0.0178971395352813,0.0229270772002395
576,"Fayetteville Police Department","Fayetteville","NC",0.238875526157547,0.268571110368638,0.0330948566652405,0.0635054229628084
565,"Burlington Police Department","Burlington","NC",0.230853391684902,0.286869340232859,0.0545679786265467,0.0766750979516937
2142,"Monroe Police Dept","Monroe","NC",0.286036036036036,0.29080118694362,0.0308797959893358,0.0626597871054711
2158,"Salisbury Police Department","Salisbury","NC",0.263157894736842,0.284467713787086,0.0172536323436513,0.036197094125079
600,"Wilmington Police Dept","Wilmington","NC",0.196243933319266,0.211450381679389,0.0352827308937944,0.082523150578502
2148,"Murphy Police Department","Murphy","NC",0.448844884488449,0.529411764705882,0.041955137081141,0.0880829015544041
580,"Gastonia Police Department","Gastonia","NC",0.517726161369193,0.482594356907292,0.0601824602707475,0.0907639604882429
582,"Greensboro Police Department","Greensboro","NC",0.298454367026497,0.294588964264729,0.0324202220737488,0.0664727980286471
587,"High Point Police Dept","High Point","NC",0.271395655036208,0.29946213112371,0.0373353979636355,0.0593319015706264
567,"Cary Police Department","Cary","NC",0.23128295254833,0.272636815920398,0.0167090510786001,0.0229829857299671
575,"Durham Police Department","Durham","NC",0.200392445425558,0.272851503188582,0.0372955468549892,0.0822350554081473
594,"Raleigh Police Dept","Raleigh","NC",0.121844548453925,0.166345275550594,0.0293351039884757,0.0506402629408152
569,"Chapel Hill Police Department","Chapel Hill","NC",0.24633431085044,0.322941646682654,0.0301348556885063,0.0621213625980733
601,"Wilson Police Department","Wilson","NC",0.31505728314239,0.29047619047619,0.0426631288622002,0.0628231975725458
563,"Asheville Police Department","Asheville","NC",0.294491880127239,0.279346716570262,0.0650540210856496,0.140326585179526
596,"Rocky Mount Police Department","Rocky Mount","NC",0.247524752475248,0.253348532345398,0.0441868095811003,0.0678329789290547
578,"Gaston County Police Dept","Gastonia","NC",0.492734031767489,0.535615171137835,0.117501456027956,0.132581100141044
2145,"Morrisville Police Department","Morrisville","NC",0.430921052631579,0.339712918660287,0.0161144977471508,0.0284508576095834
2150,"Ocean Isle Beach Police Dept","Ocean Isle Beach","NC",0.313432835820896,0.333333333333333,0.0684371807967314,0.109375
2095,"Asheboro Police Department","Asheboro","NC",0.283767038413879,0.267573696145125,0.036753654870884,0.0589887640449438
2171,"Wake Forest Police Department","Wake Forest","NC",0.251758087201125,0.236893203883495,0.051858064986689,0.0881924822330679
2129,"Huntersville Police Department","Huntersville","NC",0.205486820871436,0.228335625859697,0.0294299238526446,0.0494625119063818
2110,"Claremont Police Dept","Claremont","NC",0.366666666666667,0.41304347826087,0.026766161083624,0.0186084142394822
2126,"Hendersonville Police Department","Hendersonville","NC",0.239288068556361,0.265714285714286,0.0846445709184243,0.146935348446683
2111,"Conover Police Department","Conover","NC",0.404761904761905,0.426966292134831,0.0248031496062992,0.0425837320574163
2139,"Lumberton Police Department","Lumberton","NC",0.266754270696452,0.36662749706228,0.0491665589869492,0.0497108475962381
2168,"Troutman Police Department","Troutman","NC",0.398305084745763,0.344827586206897,0.0194558944765045,0.0213392200147167
2160,"Shelby Police Department","Shelby","NC",0.241652021089631,0.241842610364683,0.0523748159057437,0.0975716336849991
2128,"Hope Mills Police Department","Hope Mills","NC",0.258869908015769,0.276162790697674,0.0364550898203593,0.048108523879449
2130,"Jonesville Police Dept","Jonesville","NC",0.303719008264463,0.26027397260274,0.0862591338442345,0.106104651162791
2099,"Biscoe Police Department","Biscoe","NC",0.454545454545455,0.4,0.0434782608695652,0.0543478260869565
2147,"Mount Holly Police Department","Mount Holly","NC",0.379446640316206,0.418604651162791,0.0307486631016043,0.046137339055794
586,"Hickory Police Department","Hickory","NC",0.251428571428571,0.246975088967972,0.0379463210138293,0.0764043721790201
2133,"Kings Mountain Police Department","Kings Mountain","NC",0.275,0.305660377358491,0.0253554287784117,0.0290633910945383
2136,"Lake Lure Police Department","Lake Lure","NC",0.318568994889267,0.333333333333333,0.0542865069823361,0.0528846153846154
2155,"Pineville Police Department","Pineville","NC",0.267692307692308,0.311428571428571,0.0259439610441446,0.0331345261762757
2131,"Kannapolis Police Department","Kannapolis","NC",0.344626168224299,0.336711711711712,0.0224686659229608,0.0335499471059392
2167,"Tarboro Police Department","Tarboro","NC",0.484177215189873,0.473039215686274,0.0208264680682792,0.0178790534618755
2112,"Cornelius Police Department","Cornelius","NC",0.200777202072539,0.191616766467066,0.0210113766262043,0.0363596777705204
2132,"Kenly Police Department","Kenly","NC",0.37410071942446,0.33695652173913,0.066127497621313,0.0822898032200358
1468,"Edgar County Illinois Sheriff Dept","Paris","IL",0.475,1,0.016827934371056,0.037037037037037
1475,"Franklin County Sheriffs Office","Benton","IL",0.578947368421053,,0.0458937198067633,0
1463,"Dewitt County Sheriff","Clinton","IL",0.343220338983051,0.296296296296296,0.0618124672603457,0.118942731277533
1543,"Vermilion County Illinois Sheriffs","Danville","IL",0.322033898305085,0.256281407035176,0.0692048286984996,0.168358714043993
1534,"Saline County Sheriffs Office","Harrisburg","IL",0.412790697674419,0.411764705882353,0.0601819454163751,0.103658536585366
1476,"Fulton County Sheriffs Office","Lewistown","IL",0.375,0,0.00221116639027087,0.0540540540540541
357,"Kane County Sheriff Dept","Geneva","IL",0.4,,0.0367647058823529,0
358,"Lake County Sheriff","Waukegan","IL",0.181818181818182,0,0.0173775671406003,0.0434782608695652
370,"Will County Sheriffs Office","Joliet","IL",0.269090909090909,0.25962910128388,0.0168771192291759,0.0577239789196311
