,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
27587,61265.0,Moline,Illinois,IL,Rock Island,41.4906,-90.498,-1.0
27588,61266.0,Moline,Illinois,IL,Rock Island,41.5549,-90.616,-1.0
27591,61273.0,Orion,Illinois,IL,Henry,41.3634,-90.3849,-1.0
27592,61274.0,Osco,Illinois,IL,Henry,41.3637,-90.2681,-1.0
27593,61275.0,Port Byron,Illinois,IL,Rock Island,41.6013,-90.3263,-1.0
27594,61276.0,Preemption,Illinois,IL,Mercer,41.2996,-90.5866,-1.0
27595,61277.0,Prophetstown,Illinois,IL,Whiteside,41.6312,-89.9467,-1.0
27596,61278.0,Rapids City,Illinois,IL,Rock Island,41.5859,-90.3432,-1.0
27597,61279.0,Reynolds,Illinois,IL,Rock Island,41.3277,-90.6384,-1.0
27598,61281.0,Sherrard,Illinois,IL,Mercer,41.3027,-90.4939,-1.0
27599,61282.0,Silvis,Illinois,IL,Rock Island,41.5007,-90.4126,-1.0
27600,61283.0,Tampico,Illinois,IL,Whiteside,41.6522,-89.7948,-1.0
27601,61284.0,Taylor Ridge,Illinois,IL,Rock Island,41.3828,-90.734,-1.0
27602,61285.0,Thomson,Illinois,IL,Carroll,41.9816,-90.0844,-1.0
27604,61301.0,La Salle,Illinois,IL,La Salle,41.3442,-89.0955,-1.0
27605,61310.0,Amboy,Illinois,IL,Lee,41.7042,-89.3472,-1.0
27606,61311.0,Ancona,Illinois,IL,Livingston,41.0426,-88.8642,-1.0
27607,61312.0,Arlington,Illinois,IL,Bureau,41.4437,-89.2219,-1.0
27608,61313.0,Blackstone,Illinois,IL,Livingston,41.0719,-88.6498,-1.0
27609,61314.0,Buda,Illinois,IL,Bureau,41.314,-89.6795,-1.0
27610,61315.0,Bureau,Illinois,IL,Bureau,41.2894,-89.3686,-1.0
27611,61316.0,Cedar Point,Illinois,IL,La Salle,41.2617,-89.1237,-1.0
27612,61317.0,Cherry,Illinois,IL,Bureau,41.4264,-89.2126,-1.0
27613,61318.0,Compton,Illinois,IL,Lee,41.685,-89.0877,-1.0
27614,61319.0,Cornell,Illinois,IL,Livingston,41.031,-88.7668,-1.0
27615,61320.0,Dalzell,Illinois,IL,Bureau,41.3547,-89.1705,-1.0
27616,61321.0,Dana,Illinois,IL,La Salle,40.9547,-88.9628,-1.0
27617,61322.0,Depue,Illinois,IL,Bureau,41.3092,-89.3252,-1.0
27618,61323.0,Dover,Illinois,IL,Bureau,41.4362,-89.396,-1.0
27619,61324.0,Eldena,Illinois,IL,Lee,41.7711,-89.4123,-1.0
27620,61325.0,Grand Ridge,Illinois,IL,La Salle,41.2386,-88.8168,-1.0
27623,61328.0,Kasbeer,Illinois,IL,Bureau,41.3669,-89.5131,-1.0
27624,61329.0,Ladd,Illinois,IL,Bureau,41.3795,-89.2038,-1.0
