,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
191,1466.0,Ashburnham,Massachusetts,MA,-1,42.6116,-71.9295,-1.0
192,1467.0,Still River,Massachusetts,MA,Worcester,42.4871,-71.6131,-1.0
194,1469.0,Townsend,Massachusetts,MA,Middlesex,42.6525,-71.6896,-1.0
197,1472.0,West Groton,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
198,1473.0,Westminster,Massachusetts,MA,Worcester,42.5483,-71.9096,-1.0
199,1474.0,West Townsend,Massachusetts,MA,Middlesex,42.6678,-71.7522,-1.0
200,1475.0,Winchendon,Massachusetts,MA,Worcester,42.6789,-72.0475,-1.0
201,1477.0,Winchendon Springs,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
202,1501.0,Auburn,Massachusetts,MA,Worcester,42.2055,-71.8391,-1.0
203,1503.0,Berlin,Massachusetts,MA,Worcester,42.3844,-71.6356,-1.0
205,1505.0,Boylston,Massachusetts,MA,Worcester,42.3377,-71.731,-1.0
206,1506.0,Brookfield,Massachusetts,MA,Worcester,42.1991,-72.0989,-1.0
208,1508.0,Charlton City,Massachusetts,MA,Worcester,42.1097,-72.0795,-1.0
209,1509.0,Charlton Depot,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
210,1510.0,Clinton,Massachusetts,MA,Worcester,42.4181,-71.6828,-1.0
212,1516.0,Douglas,Massachusetts,MA,Worcester,42.0528,-71.7509,-1.0
213,1517.0,East Princeton,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
214,1518.0,Fiskdale,Massachusetts,MA,Worcester,42.1228,-72.1178,-1.0
215,1519.0,Grafton,Massachusetts,MA,Worcester,42.2004,-71.6868,-1.0
216,1520.0,Holden,Massachusetts,MA,Worcester,42.342,-71.8414,-1.0
217,1521.0,Holland,Massachusetts,MA,Hampden,42.0403,-72.1544,-1.0
218,1522.0,Jefferson,Massachusetts,MA,Worcester,42.3755,-71.8706,-1.0
219,1523.0,Lancaster,Massachusetts,MA,Worcester,42.451,-71.6868,-1.0
220,1524.0,Leicester,Massachusetts,MA,Worcester,42.237,-71.9188,-1.0
221,1525.0,Linwood,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
222,1526.0,Manchaug,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
224,1529.0,Millville,Massachusetts,MA,Worcester,42.0331,-71.5798,-1.0
225,1531.0,New Braintree,Massachusetts,MA,Worcester,42.3198,-72.1306,-1.0
226,1532.0,Northborough,Massachusetts,MA,Worcester,42.3182,-71.6464,-1.0
227,1534.0,Northbridge,Massachusetts,MA,Worcester,42.1494,-71.6564,-1.0
228,1535.0,North Brookfield,Massachusetts,MA,Worcester,42.2665,-72.0821,-1.0
229,1536.0,North Grafton,Massachusetts,MA,Worcester,42.2297,-71.7037,-1.0
230,1537.0,North Oxford,Massachusetts,MA,Worcester,42.1655,-71.886,-1.0
231,1538.0,North Uxbridge,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
232,1539.0,Oakdale,Massachusetts,MA,-1,42.3581,-71.7832,-1.0
233,1540.0,Oxford,Massachusetts,MA,Worcester,42.1128,-71.8687,-1.0
234,1541.0,Princeton,Massachusetts,MA,Worcester,42.4508,-71.8762,-1.0
235,1542.0,Rochdale,Massachusetts,MA,Worcester,42.1997,-71.9069,-1.0
236,1543.0,Rutland,Massachusetts,MA,Worcester,42.3762,-71.949,-1.0
239,1550.0,Southbridge,Massachusetts,MA,Worcester,42.075,-72.0353,-1.0
240,1560.0,South Grafton,Massachusetts,MA,Worcester,42.176,-71.6927,-1.0
241,1561.0,South Lancaster,Massachusetts,MA,Worcester,42.4435,-71.6861,-1.0
242,1562.0,Spencer,Massachusetts,MA,Worcester,42.2441,-71.9906,-1.0
243,1564.0,Sterling,Massachusetts,MA,Worcester,42.4354,-71.7752,-1.0
244,1566.0,Sturbridge,Massachusetts,MA,Worcester,42.1126,-72.0842,-1.0
245,1568.0,Upton,Massachusetts,MA,Worcester,42.1756,-71.6032,-1.0
246,1569.0,Uxbridge,Massachusetts,MA,Worcester,42.0744,-71.6329,-1.0
